d,n,j,D_original,D_squarefree,tunnell_result
51783781159,2,227561,103567562320,6472972645,✓ CONFIRMADO
5437440,9,39573,3131965512,86999042,✓ CONFIRMADO
78685769,2,8871,157371540,39342885,✓ CONFIRMADO
69654030319,2,263921,139308060640,8706753790,✓ CONFIRMADO
9567285155,2,97813,19134570312,531515842,✓ CONFIRMADO
7585451929,2,87095,15170903860,3792725965,✓ CONFIRMADO
6300628751,2,79377,12601257504,6508914,✓ CONFIRMADO
2460804841,2,49607,4921609684,1230402421,✓ CONFIRMADO
1717547855,5,262111,137403828420,34350957105,✓ CONFIRMADO
1326525661,2,36422,2653051324,5481511,✓ CONFIRMADO
57999329729,2,240831,115998659460,3222184985,✓ CONFIRMADO
69487859629,2,263606,138975719260,34743929815,✓ CONFIRMADO
37658701421,2,194059,75317402844,2092150079,✓ CONFIRMADO
954222989,2,30891,1908445980,477111495,✓ CONFIRMADO
2453139338,4,210135,88313016180,22078254045,✓ CONFIRMADO
1251959100,4,150118,45070527612,11267631903,✓ CONFIRMADO
127091801,2,11274,254183604,63545901,✓ CONFIRMADO
111756611,2,10572,223513224,58146,✓ CONFIRMADO
3848347,9,33292,2216647944,6841506,✓ CONFIRMADO
8326211,12,77749,12089658504,3022414626,✓ CONFIRMADO
171170444,5,82746,13693635540,380378765,✓ CONFIRMADO
32332175531,2,179812,64664351064,1796231974,✓ CONFIRMADO
45892993301,2,214227,91785986604,2549610739,✓ CONFIRMADO
88576331,2,9412,177152664,44288166,✓ CONFIRMADO
98479713,10,199711,79768567620,2215793545,✓ CONFIRMADO
4999550555,2,70708,9999101112,51015822,✓ CONFIRMADO
64933487219,2,254821,129866974440,32466743610,✓ CONFIRMADO
53491594805,2,231283,106983189612,2971755267,✓ CONFIRMADO
62293920155,2,249588,124587840312,3460773342,✓ CONFIRMADO
37600118555,2,193908,75200237112,18800059278,✓ CONFIRMADO
22276905769,2,149255,44553811540,227315365,✓ CONFIRMADO
341366675,4,78388,12289200312,3072300078,✓ CONFIRMADO
25542272579,2,159820,51084545160,12771136290,✓ CONFIRMADO
43973880299,2,209700,87947760600,97719734,✓ CONFIRMADO
543834703,4,98940,19578049320,4894512330,✓ CONFIRMADO
2074961023,5,288095,165996881860,41499220465,✓ CONFIRMADO
5310719,2,2305,10621440,4610,✓ CONFIRMADO
4052085268,4,270070,145875069660,36468767415,✓ CONFIRMADO
